Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C:0_CLOCK1,22pF,C_0805_2012Metric,157.988000,-76.073000,225.000000,bottom
C:1_CLOCK2,22pF,C_0805_2012Metric,152.908000,-71.120000,225.000000,bottom
C:DCP0,0.1uF,C_0805_2012Metric,158.750000,-83.693000,45.000000,bottom
C:DCP1,0.1uF,C_0805_2012Metric,150.114000,-69.469000,45.000000,bottom
C:DCP2,0.1uF,C_0805_2012Metric,144.653000,-90.297000,135.000000,bottom
C:DCP3,10uF,C_0805_2012Metric,137.922000,-79.629000,225.000000,bottom
CONT1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,148.590000,-81.026000,45.000000,bottom
C_UCAP1,1uF,C_0805_2012Metric,142.240000,-74.168000,135.000000,bottom
D0:0,SOD-123,D_SOD-123,-23.018750,5.556250,90.000000,bottom
D0:1,SOD-123,D_SOD-123,-3.968750,5.556250,90.000000,bottom
D0:2,SOD-123,D_SOD-123,15.081250,5.556250,90.000000,bottom
D0:3,SOD-123,D_SOD-123,34.131250,5.556250,90.000000,bottom
D0:4,SOD-123,D_SOD-123,53.181250,5.556250,90.000000,bottom
D0:5,SOD-123,D_SOD-123,72.231250,5.556250,90.000000,bottom
D0:6,SOD-123,D_SOD-123,91.281250,5.556250,90.000000,bottom
D0:7,SOD-123,D_SOD-123,107.315000,5.715000,90.000000,bottom
D0:8,SOD-123,D_SOD-123,129.381250,5.556250,90.000000,bottom
D0:9,SOD-123,D_SOD-123,148.431250,5.556250,90.000000,bottom
D1:0,SOD-123,D_SOD-123,-23.018750,-13.493750,90.000000,bottom
D1:1,SOD-123,D_SOD-123,-3.968750,-13.493750,90.000000,bottom
D1:2,SOD-123,D_SOD-123,15.081250,-13.493750,90.000000,bottom
D1:3,SOD-123,D_SOD-123,34.131250,-13.493750,90.000000,bottom
D1:4,SOD-123,D_SOD-123,53.181250,-13.493750,90.000000,bottom
D1:5,SOD-123,D_SOD-123,72.231250,-13.493750,90.000000,bottom
D1:6,SOD-123,D_SOD-123,91.281250,-13.493750,90.000000,bottom
D1:7,SOD-123,D_SOD-123,106.172000,-13.335000,90.000000,bottom
D1:8,SOD-123,D_SOD-123,129.381250,-13.493750,90.000000,bottom
D1:9,SOD-123,D_SOD-123,148.431250,-13.493750,90.000000,bottom
D2:0,SOD-123,D_SOD-123,-23.018750,-32.543750,90.000000,bottom
D2:1,SOD-123,D_SOD-123,-3.968750,-32.543750,90.000000,bottom
D2:2,SOD-123,D_SOD-123,15.081250,-32.543750,90.000000,bottom
D2:3,SOD-123,D_SOD-123,34.131250,-42.068750,90.000000,bottom
D2:4,SOD-123,D_SOD-123,58.737500,-32.543750,90.000000,bottom
D2:5,SOD-123,D_SOD-123,81.756250,-32.543750,90.000000,bottom
D2:6,SOD-123,D_SOD-123,100.806250,-32.543750,90.000000,bottom
D2:7,SOD-123,D_SOD-123,119.856250,-32.543750,90.000000,bottom
D2:8,SOD-123,D_SOD-123,138.906250,-32.543750,90.000000,bottom
D2:9,SOD-123,D_SOD-123,157.956250,-32.543750,90.000000,bottom
D3:0,SOD-123,D_SOD-123,-23.018750,-51.593750,90.000000,bottom
D3:1,SOD-123,D_SOD-123,-3.968750,-51.593750,90.000000,bottom
D3:2,SOD-123,D_SOD-123,15.081250,-51.593750,90.000000,bottom
D3:4,SOD-123,D_SOD-123,61.118750,-50.800000,90.000000,bottom
D3:5,SOD-123,D_SOD-123,86.518750,-51.593750,90.000000,bottom
